contract,function,line,detector_id,severity,swc_id,source
buggy_1,EIP20Interface.callme_re_ent14(),54,arbitrary-send-eth,High,SWC-105,slither
buggy_1,EIP20Interface.callme_re_ent7(),25,arbitrary-send-eth,High,SWC-105,slither
buggy_1,HotDollarsToken.callme_re_ent35(),204,arbitrary-send-eth,High,SWC-105,slither
buggy_1,HotDollarsToken.bug_re_ent27(),246,arbitrary-send-eth,High,SWC-105,slither
buggy_1,EIP20Interface.buyTicket_re_ent30(),68,arbitrary-send-eth,High,SWC-105,slither
buggy_1,EIP20Interface.bug_re_ent13(),97,arbitrary-send-eth,High,SWC-105,slither
buggy_1,EIP20Interface.buyTicket_re_ent23(),39,arbitrary-send-eth,High,SWC-105,slither
buggy_1,HotDollarsToken.bug_re_ent20(),122,arbitrary-send-eth,High,SWC-105,slither
buggy_1,EIP20Interface.bug_re_ent13(),97,reentrancy-eth,High,SWC-107,slither
buggy_1,EIP20Interface.withdraw_balances_re_ent8(),80,reentrancy-eth,High,SWC-107,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent33(),233,reentrancy-eth,High,SWC-107,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent26(),112,reentrancy-eth,High,SWC-107,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent40(),217,reentrancy-eth,High,SWC-107,slither
buggy_1,"HotDollarsToken.transferFrom(address,address,uint256)",191,shadowing-local,Low,SWC-119,slither
buggy_1,,0,solc-version,Info,SWC-103,slither
buggy_1,>=0.4.22<0.6.0,5,solc-version,Info,SWC-103,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent33(),233,low-level-calls,Info,SWC-104,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent40(),217,low-level-calls,Info,SWC-104,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent26(),112,low-level-calls,Info,SWC-104,slither
buggy_1,EIP20Interface.bug_re_ent13(),97,low-level-calls,Info,SWC-104,slither
buggy_1,EIP20Interface.withdraw_balances_re_ent8(),80,low-level-calls,Info,SWC-104,slither
buggy_1,EIP20Interface,36,naming-convention,Info,,slither
buggy_1,EIP20Interface.buyTicket_re_ent23(),38,naming-convention,Info,,slither
buggy_1,EIP20Interface,66,naming-convention,Info,,slither
buggy_1,EIP20Interface.callme_re_ent14(),52,naming-convention,Info,,slither
buggy_1,EIP20Interface.withdrawFunds_re_ent31(uint256),87,naming-convention,Info,,slither
buggy_1,HotDollarsToken,213,naming-convention,Info,,slither
buggy_1,HotDollarsToken.balanceOf(address),210,naming-convention,Info,,slither
buggy_1,HotDollarsToken,143,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.allowance(address,address)",240,naming-convention,Info,,slither
buggy_1,HotDollarsToken.bug_re_ent20(),120,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.transferFrom(address,address,uint256)",190,naming-convention,Info,,slither
buggy_1,HotDollarsToken.bug_re_ent27(),244,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.approve(address,uint256)",224,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdrawFunds_re_ent38(uint256),144,naming-convention,Info,,slither
buggy_1,HotDollarsToken,134,naming-convention,Info,,slither
buggy_1,HotDollarsToken,108,naming-convention,Info,,slither
buggy_1,HotDollarsToken,119,naming-convention,Info,,slither
buggy_1,EIP20Interface.withdraw_balances_re_ent8(),79,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdrawFunds_re_ent38(uint256),144,naming-convention,Info,,slither
buggy_1,HotDollarsToken.claimReward_re_ent32(),135,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent40(),214,naming-convention,Info,,slither
buggy_1,HotDollarsToken,229,naming-convention,Info,,slither
buggy_1,HotDollarsToken,168,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.transfer(address,uint256)",177,naming-convention,Info,,slither
buggy_1,EIP20Interface.buyTicket_re_ent30(),67,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdraw_balances_re_ent36(),185,naming-convention,Info,,slither
buggy_1,EIP20Interface.bug_re_ent13(),95,naming-convention,Info,,slither
buggy_1,EIP20Interface,37,naming-convention,Info,,slither
buggy_1,EIP20Interface.callme_re_ent7(),23,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.allowance(address,address)",240,naming-convention,Info,,slither
